MDEwOlJlcG9zaXRvcnk3MjQ3MTI=,rust,rust-lang,Rust,46110,6872,34765
MDEwOlJlcG9zaXRvcnkyMDUyNTU2ODM=,zebra,ZcashFoundation,Rust,132,16,199
MDEwOlJlcG9zaXRvcnkzMzkwMjQz,servo,servo,Rust,16156,2380,11133
MDEwOlJlcG9zaXRvcnkxNzQyMDkxMw==,cargo,rust-lang,Rust,5696,1162,4447
MDEwOlJlcG9zaXRvcnkxMTUwMzk3MDY=,rust-analyzer,rust-analyzer,Rust,3837,380,1674
MDEwOlJlcG9zaXRvcnk0MjYxOTQ4Nw==,intellij-rust,intellij-rust,Kotlin,3073,278,2626
MDEwOlJlcG9zaXRvcnkyMzUwMDg2NQ==,hyper,hyperium,Rust,6449,865,1111
MDEwOlJlcG9zaXRvcnk0MzE5MjYyMw==,rustup,rust-lang,Rust,3494,512,1289
MDEwOlJlcG9zaXRvcnk2MTcyODQ1OQ==,rust-bindgen,rust-lang,C++,1662,389,908
MDEwOlJlcG9zaXRvcnkzMjUwMDM2OQ==,cocalc,sagemathinc,TypeScript,792,157,3199
MDEwOlJlcG9zaXRvcnkxNjU2MzU4Nw==,cockroach,cockroachdb,Go,18396,2207,25729
MDEwOlJlcG9zaXRvcnk1MDI2ODE2NQ==,cranelift,bytecodealliance,,2487,219,379
MDEwOlJlcG9zaXRvcnk4NDk4MzA1OA==,http,hyperium,Rust,535,116,182
MDEwOlJlcG9zaXRvcnkzODYxNTYyMw==,cborg,well-typed,Haskell,141,56,113
MDEwOlJlcG9zaXRvcnkxOTkxOTY1NTI=,artichoke,artichoke,Rust,1525,59,236
MDEwOlJlcG9zaXRvcnkyMTM2NTU4MQ==,crates.io,rust-lang,Rust,1613,365,894
MDEwOlJlcG9zaXRvcnk1NDcxNTI1NQ==,GameServer,LeagueSandbox,C#,411,233,462
MDEwOlJlcG9zaXRvcnkzNjA5ODQyOQ==,habitat,habitat-sh,Rust,2212,316,2660
MDEwOlJlcG9zaXRvcnk3NzU3MDMwOQ==,bors-ng,bors-ng,Elixir,736,100,310
MDEwOlJlcG9zaXRvcnkxOTg2NjczMA==,citra,citra-emu,C++,5817,1229,2059
MDEwOlJlcG9zaXRvcnk0NjM0OTc3Ng==,core-plans,habitat-sh,Shell,127,266,550
MDEwOlJlcG9zaXRvcnk3MTI3NDUy,archzfs,archzfs,Shell,224,36,264
MDEwOlJlcG9zaXRvcnkxNjE2NjY1,bedrock,mozilla,HTML,894,840,1947
MDEwOlJlcG9zaXRvcnkxMzU3Nzk2,emscripten,emscripten-core,C++,19235,2314,5414
MDEwOlJlcG9zaXRvcnkzODY1NTA1Ng==,mdBook,rust-lang,Rust,4466,515,651
MDEwOlJlcG9zaXRvcnk5MTgyNDg5Ng==,Spoke,MoveOnOrg,JavaScript,272,217,662
MDEwOlJlcG9zaXRvcnkxMTc3MzgzNjQ=,servo-warc-tests,servo,Shell,12,18,35
MDEwOlJlcG9zaXRvcnk4NjIyOTAxOA==,Mozilla-Italia-l10n-guide,MozillaItalia,,11,5,197
MDEwOlJlcG9zaXRvcnk0MDUwODYwNQ==,relay,facebook,JavaScript,14662,1459,1589
MDEwOlJlcG9zaXRvcnk2Mjg0MzkzMg==,BotFramework-WebChat,microsoft,JavaScript,1095,1089,2099
MDEwOlJlcG9zaXRvcnk2MjI5NDQy,filer,filerjs,JavaScript,348,145,414
MDEwOlJlcG9zaXRvcnkzMTQxNDAzNw==,librecores-web,librecores,PHP,26,25,280
MDEwOlJlcG9zaXRvcnkxMjYwMTM3NA==,react-devtools,facebook,,10798,1683,840
MDEwOlJlcG9zaXRvcnk3MDgyMjQ2MQ==,floweaver,ricklupton,Python,223,72,79
MDEwOlJlcG9zaXRvcnk3NTMyNzMyNQ==,multi-account-containers,mozilla,JavaScript,1306,199,1333
